Title,US_Gross,Worldwide_Gross,Production_Budget,Release_Date,MPAA_Rating,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Normalized_Release_Date
Ong-Bak 2,102458,7583050,15000000,25-Sep-09,R,Magnolia Pictures,Original Screenplay,Action,Contemporary Fiction,,0,4.7,887,25-09-2009
Opal Dreams,14443,14443,9000000,22-Nov-06,PG,Strand,Based on Book/Short Story,Drama,Contemporary Fiction,,0,6.5,468,22-11-2006
Open Range,58328680,68293719,26000000,15-Aug-03,R,Walt Disney Pictures,Based on Book/Short Story,Western,Historical Fiction,Kevin Costner,79,7.5,26438,15-08-2003
Open Season,85105259,189901703,85000000,29-Sep-06,PG,Sony Pictures,Original Screenplay,Adventure,Kids Fiction,,47,6.0,52,29-09-2006
Open Water,30500882,52100882,500000,6-Aug-04,R,Lionsgate,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,0,5.9,23667,06-08-2004
Orange County,41059716,43308707,18000000,11-Jan-02,PG-13,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,47,6.1,23742,11-01-2002
Ordinary People,52302978,52302978,6000000,19-Sep-80,,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Robert Redford,91,7.0,138,19-09-1980
Orgazmo,582024,627287,1000000,23-Oct-98,NC-17,October Films,Original Screenplay,Comedy,Contemporary Fiction,Trey Parker,0,6.0,15592,23-10-1998
Original Sin,16521410,16521410,26000000,3-Aug-01,R,MGM,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,12,5.6,15939,03-08-2001
Osama,1127331,1971479,500000,30-Jan-04,PG-13,MGM,Original Screenplay,Drama,Contemporary Fiction,,0,7.4,4737,30-01-2004
Oscar and Lucinda,1612957,1612957,12500000,31-Dec-97,R,Fox Searchlight,Based on Book/Short Story,Drama,Historical Fiction,,65,6.7,3782,31-12-1997
Osmosis Jones,13596911,13596911,70000000,10-Aug-01,PG,Warner Bros.,Original Screenplay,Comedy,Kids Fiction,Bobby Farrelly,54,6.0,10959,10-08-2001
Othello,2844379,2844379,11000000,14-Dec-95,R,Sony Pictures,Based on Play,Drama,Historical Fiction,,68,6.9,4289,14-12-1995
Out Cold,13906394,13906394,11000000,21-Nov-01,PG-13,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,8,5.8,7153,21-11-2001
Out of Africa,79096868,258210860,31000000,18-Dec-85,,Universal,Based on Book/Short Story,Drama,Historical Fiction,Sydney Pollack,63,7.0,19638,18-12-1985
Out of Sight,37562568,37562568,48000000,26-Jun-98,R,Universal,Based on Book/Short Story,Drama,Contemporary Fiction,Steven Soderbergh,93,7.1,38263,26-06-1998
Out of Time,41083108,55489826,50000000,3-Oct-03,PG-13,MGM,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Carl Franklin,65,4.9,151,03-10-2003
Out of the Dark,419428,419428,1600000,11-Mar-89,,New Line,,,,,0,5.1,230,11-03-1989
Outbreak,67823573,67823573,50000000,10-Mar-95,R,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Wolfgang Petersen,59,6.4,33192,10-03-1995
Outlander,166003,1250617,50000000,23-Jan-09,R,Third Rail,Original Screenplay,Adventure,Science Fiction,,0,6.4,18299,23-01-2009
Over the Hill to the Poorhouse,3000000,3000000,100000,17-Sep-20,,,,,,,0,0.0,0,17-09-2020
Owning Mahowny,1011054,1011054,10000000,2-May-03,R,Sony Pictures Classics,Based on Book/Short Story,Drama,Dramatization,,78,7.0,5789,02-05-2003
PCU,4333569,4333569,9000000,29-Apr-94,PG-13,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,47,6.0,6967,29-04-1994
Paa,199228,9791282,4300000,4-Dec-09,,Reliance Big Pictures,,,,,60,7.3,1059,04-12-2009
Paint Your Wagon,31678778,31678778,20000000,15-Oct-69,PG-13,Paramount Pictures,Based on Play,Musical,Historical Fiction,,23,6.5,5037,15-10-1969
Pale Rider,41410568,41410568,6900000,28-Jun-85,,Warner Bros.,Original Screenplay,Western,Historical Fiction,Clint Eastwood,92,7.1,15352,28-06-1985
Pandaemonium,0,0,15000000,29-Jun-01,PG-13,,,,,,0,6.5,496,29-06-2001
Pandora's Box,881950,881950,800000,9-Aug-02,R,Kino International,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,0,4.6,386,09-08-2002
Pandorum,10330853,17033431,40000000,25-Sep-09,R,Overture Films,Original Screenplay,Horror,Science Fiction,,28,6.9,29428,25-09-2009
Panic,779137,889279,1000000,1-Dec-00,R,Roxie Releasing,Original Screenplay,Drama,Contemporary Fiction,,92,2.7,473,01-12-2000
Panic Room,95308367,196308367,48000000,29-Mar-02,R,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,76,6.9,68737,29-03-2002
Paparazzi,15712072,16612072,20000000,3-Sep-04,PG-13,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,18,5.7,9058,03-09-2004
Paranormal Activity,107918810,193770453,15000,25-Sep-09,R,Paramount Pictures,Original Screenplay,Horror,Contemporary Fiction,Oren Peli,82,6.7,53455,25-09-2009
"Paris, je t'aime",4857374,4857374,13000000,4-May-07,R,First Look,Original Screenplay,Drama,Contemporary Fiction,Gurinder Chadha,0,6.6,175,04-05-2007
Partition,0,0,10000000,2-Feb-07,,,Original Screenplay,Drama,Historical Fiction,,40,6.6,1275,02-02-2007
Pat Garrett and Billy the Kid,8000000,11000000,4638783,23-May-73,R,,,,,Sam Peckinpah,0,7.3,6374,23-05-1973
Patch Adams,135041968,202200000,50000000,25-Dec-98,PG-13,Universal,Based on Real Life Events,Comedy,Contemporary Fiction,Tom Shadyac,24,6.3,31481,25-12-1998
Patriot Games,83287363,178100000,45000000,5-Jun-92,,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phillip Noyce,75,6.9,29544,05-06-1992
Patton,62500000,62500000,12000000,1-Jan-70,,,,,,Franklin J. Schaffner,97,8.1,39570,01-01-1970
Paul Blart: Mall Cop,146336178,180449670,26000000,16-Jan-09,PG,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,35,5.3,23753,16-01-2009
Pay it Forward,33508922,33508922,40000000,20-Oct-00,PG-13,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Mimi Leder,40,6.8,36762,20-10-2000
Payback,81526121,161626121,50000000,5-Feb-99,R,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,,51,5.8,304,05-02-1999
Paycheck,53789313,89350576,60000000,25-Dec-03,PG-13,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Science Fiction,John Woo,28,6.1,35660,25-12-2003
"Peace, Propaganda and the Promised Land",4930,4930,70000,28-Jan-05,Not Rated,Arab Film Distribution,Based on Real Life Events,Documentary,Factual,,0,3.0,75,28-01-2005
Pearl Harbor,198539855,449239855,151500000,25-May-01,PG-13,Walt Disney Pictures,Based on Real Life Events,Action,Dramatization,Michael Bay,26,5.4,96186,25-05-2001
Peggy Sue Got Married,41382841,41382841,18000000,10-Oct-86,,Sony/TriStar,Original Screenplay,Comedy,Fantasy,Francis Ford Coppola,88,6.3,12457,10-10-1986
Penitentiary,287000,287000,100000,10-May-80,,,Original Screenplay,Drama,Contemporary Fiction,,0,5.5,233,10-05-1980
People I Know,121972,121972,20000000,25-Apr-03,R,Miramax,,,,,0,5.5,6305,25-04-2003
Per qualche dollaro in pi˘,4300000,4300000,600000,10-May-67,,MGM,Original Screenplay,Western,Historical Fiction,Sergio Leone,0,8.2,44204,10-05-1967
Per un pugno di dollari,3500000,3500000,200000,18-Jan-67,,United Artists,Remake,Western,Historical Fiction,Sergio Leone,0,8.0,39929,18-01-1967
Percy Jackson & the Olympians: The Lightning Thief,88761720,226435277,95000000,12-Feb-10,PG,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,Chris Columbus,50,5.8,20451,12-02-2010
Perfume: The Story of a Murderer,2223293,132180323,63700000,27-Dec-06,R,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Tom Tykwer,58,7.5,51704,27-12-2006
Perrier's Bounty,828,828,6600000,21-May-10,R,,,,,,0,6.2,808,21-05-2010
Pet Sematary,57469179,57469179,11500000,21-Apr-89,,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,,50,6.3,19257,21-04-1989
Pete's Dragon,36000000,36000000,10000000,3-Nov-77,,,,,,,50,6.0,4620,03-11-1977
Peter Pan,87400000,87400000,4000000,5-Feb-53,PG,RKO Radio Pictures,Based on Book/Short Story,Adventure,Fantasy,,83,7.1,16894,05-02-1953
Peter Pan: Return to Neverland,48430258,109862682,20000000,15-Feb-02,G,Walt Disney Pictures,Based on Play,Adventure,Kids Fiction,,46,0.0,0,15-02-2002
Phantasm II,7000000,7000000,3000000,8-Jul-88,,Universal,,Horror,Fantasy,,29,6.3,3781,08-07-1988
Phat Girlz,7061128,7271305,3000000,7-Apr-06,PG-13,Fox Searchlight,Original Screenplay,Romantic Comedy,Contemporary Fiction,,23,2.2,6343,07-04-2006
Phenomenon,104636382,142836382,32000000,5-Jul-96,PG,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Jon Turteltaub,50,6.3,26823,05-07-1996
Philadelphia,77324422,201324422,26000000,22-Dec-93,,Sony/TriStar,Original Screenplay,Drama,Contemporary Fiction,Jonathan Demme,74,7.6,53283,22-12-1993
Phone Booth,46566212,97837138,11000000,4-Apr-03,R,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,71,7.2,68874,04-04-2003
Pi,3221152,4678513,68000,10-Jul-98,R,Live Entertainment,Original Screenplay,Thriller/Suspense,Science Fiction,Darren Aronofsky,86,7.5,53699,10-07-1998
Pieces of April,2528664,3284124,300000,17-Oct-03,PG-13,MGM,Original Screenplay,Comedy,Contemporary Fiction,,85,7.2,12153,17-10-2003
Pink Flamingos,413802,413802,12000,11-Apr-97,NC-17,Fine Line,,,,John Waters,0,5.8,7947,11-04-1997
Pink Narcissus,8231,8231,27000,24-Dec-99,Not Rated,,,,,,0,6.0,384,24-12-1999
Pinocchio,3681811,31681811,45000000,25-Dec-02,G,Miramax,Based on Book/Short Story,Adventure,Fantasy,Roberto Benigni,0,3.5,3215,25-12-2002
Pirates,1641825,6341825,40000000,1-Jul-86,R,,,,,Roman Polanski,25,5.8,3275,01-07-1986
Pirates of the Caribbean: At World's End,309420425,960996492,300000000,25-May-07,PG-13,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,45,7.0,133241,25-05-2007
Pirates of the Caribbean: Dead Man's Chest,423315812,1065659812,225000000,7-Jul-06,PG-13,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,54,7.3,150446,07-07-2006
Pirates of the Caribbean: The Curse of the Black Pearl,305411224,655011224,125000000,9-Jul-03,PG-13,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,0,8.0,232719,09-07-2003
Pitch Black,39235088,53182088,23000000,18-Feb-00,R,USA Films,Original Screenplay,Horror,Science Fiction,David Twohy,55,7.0,55217,18-02-2000
Planet 51,42194060,108005745,50000000,20-Nov-09,PG,Sony Pictures,Original Screenplay,Adventure,Science Fiction,,22,6.1,9645,20-11-2009
Planet of the Apes,180011740,362211740,100000000,27-Jul-01,PG-13,20th Century Fox,Remake,Adventure,Science Fiction,Tim Burton,44,5.5,72763,27-07-2001
Platoon,137963328,137963328,6000000,19-Dec-86,,Orion Pictures,Original Screenplay,Drama,Historical Fiction,Oliver Stone,86,8.2,108641,19-12-1986
Play it to the Bone,8427204,8427204,24000000,24-Dec-99,R,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ron Shelton,0,5.1,6039,24-12-1999
Please Give,4028339,4028339,3000000,30-Apr-10,R,Sony Pictures Classics,,,,,88,7.4,1023,30-04-2010
Pocahontas,141579773,347100000,55000000,10-Jun-95,G,Walt Disney Pictures,Based on Real Life Events,Adventure,Historical Fiction,,55,6.0,26690,10-06-1995
Pocketful of Miracles,5000000,5000000,2900000,1961-01-01,,,,,,Frank Capra,63,7.2,2365,01-01-1961
Poetic Justice,27450453,27450453,14000000,23-Jul-93,,Sony/Columbia,Original Screenplay,Drama,Contemporary Fiction,John Singleton,36,5.1,3689,23-07-1993
Pokemon 2000,43746923,133946923,30000000,21-Jul-00,G,Warner Bros.,Based on TV,Adventure,Kids Fiction,,0,0.0,0,21-07-2000
Pokemon 3: The Movie,17052128,68452128,3000000,6-Apr-01,G,Warner Bros.,Based on TV,Adventure,Kids Fiction,,23,3.5,2577,06-04-2001
Police Academy,81198894,81198894,4500000,23-Mar-84,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Hugh Wilson,47,6.3,23192,23-03-1984
Police Academy 7: Mission to Moscow,126247,126247,10000000,26-Aug-94,PG,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,0,2.5,13121,26-08-1994
Pollock,8596914,10557291,6000000,15-Dec-00,R,Sony Pictures Classics,Based on Real Life Events,Drama,Dramatization,Ed Harris,82,7.1,9669,15-12-2000
Poltergeist,74706019,121706019,10700000,4-Jun-82,,MGM,Original Screenplay,Horror,Fantasy,Tobe Hooper,86,7.4,32817,04-06-1982
Poltergeist III,14114000,14114000,9500000,10-Jun-88,,MGM,Original Screenplay,Horror,Fantasy,,14,3.8,5387,10-06-1988
Pooh's Heffalump Movie,18098433,52858433,20000000,11-Feb-05,G,Walt Disney Pictures,Based on Book/Short Story,Adventure,Kids Fiction,,80,6.3,1605,11-02-2005
Poolhall Junkies,563711,563711,4000000,28-Feb-03,R,Gold Circle Films,Original Screenplay,Drama,Contemporary Fiction,,0,6.8,5233,28-02-2003
Pootie Tang,3293258,3293258,3500000,29-Jun-01,PG-13,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,27,4.5,6183,29-06-2001
Popeye,49823037,49823037,20000000,12-Dec-80,,Paramount Pictures,,,,Robert Altman,56,4.9,11433,12-12-1980
Porky's,109492484,109492484,4000000,19-Mar-82,,20th Century Fox,Original Screenplay,Comedy,Historical Fiction,,0,5.8,15861,19-03-1982
Poseidon,60674817,181674817,160000000,12-May-06,PG-13,Warner Bros.,Remake,Adventure,Contemporary Fiction,Wolfgang Petersen,33,5.6,35930,12-05-2006
Possession,10103647,14805812,25000000,16-Aug-02,PG-13,Focus Features,Based on Book/Short Story,Drama,Contemporary Fiction,Neil LaBute,64,6.4,6789,16-08-2002
Practical Magic,46850558,68336997,60000000,16-Oct-98,PG-13,Warner Bros.,Based on Book/Short Story,Comedy,Fantasy,Griffin Dunne,21,5.5,20196,16-10-1998
Precious (Based on the Novel Push by Sapphire),47566524,63471431,10000000,6-Nov-09,R,Lionsgate,Based on Book/Short Story,Drama,Historical Fiction,Lee Daniels,0,7.5,24504,06-11-2009
Predator,59735548,98267558,18000000,12-Jun-87,,20th Century Fox,Original Screenplay,Action,Science Fiction,John McTiernan,76,7.8,88522,12-06-1987
Predator 2,28317513,54768418,35000000,21-Nov-90,,20th Century Fox,Original Screenplay,Action,Science Fiction,Stephen Hopkins,23,6.0,35411,21-11-1990
Predators,51920690,124549380,40000000,9-Jul-10,R,20th Century Fox,Original Screenplay,Action,,,63,6.9,22257,09-07-2010
Prefontaine,590817,590817,8000000,24-Jan-97,PG-13,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,,62,6.2,2580,24-01-1997
Premonition,47852604,81461343,20000000,16-Mar-07,PG-13,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,8,0.0,0,16-03-2007
Pretty Woman,178406268,463400000,14000000,23-Mar-90,,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Garry Marshall,62,6.7,60742,23-03-1990
Pride and Glory,15740721,43440721,30000000,24-Oct-08,R,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,,34,6.7,24596,24-10-2008
Pride and Prejudice,38372662,120918508,28000000,11-Nov-05,PG,Focus Features,Based on Book/Short Story,Drama,Historical Fiction,Joe Wright,85,5.5,1230,11-11-2005
Primary Colors,39017984,39017984,65000000,20-Mar-98,R,Universal,Based on Book/Short Story,Comedy,Dramatization,Mike Nichols,80,6.7,15340,20-03-1998
Primer,424760,565846,7000,8-Oct-04,PG-13,ThinkFilm,Original Screenplay,Drama,Science Fiction,,0,6.9,17454,08-10-2004
Prince of Persia: Sands of Time,90755643,335055643,200000000,28-May-10,PG-13,Walt Disney Pictures,Based on Game,Action,Fantasy,Mike Newell,0,0.0,0,28-05-2010
Princess Kaiulani,883454,883454,9000000,14-May-10,PG,Roadside Attractions,Based on Real Life Events,Drama,Dramatization,,0,5.3,224,14-05-2010
Prison,354704,354704,4000000,4-Mar-88,,Empire Pictures,Original Screenplay,Horror,,Renny Harlin,0,5.8,1154,04-03-1988
Prom Night,43869350,57109687,18000000,11-Apr-08,PG-13,Sony/Screen Gems,Remake,Horror,Contemporary Fiction,,8,5.1,4263,11-04-2008
Proof,7535331,8284331,20000000,16-Sep-05,PG-13,Miramax,Based on Play,Drama,Contemporary Fiction,John Madden,64,6.9,18622,16-09-2005
Proof of Life,32598931,62761005,65000000,8-Dec-00,R,Warner Bros.,Based on Magazine Article,Action,Contemporary Fiction,Taylor Hackford,39,6.1,23099,08-12-2000
Prophecy,21000000,21000000,12000000,15-Jun-79,,,,,,John Frankenheimer,25,4.7,1381,15-06-1979
Proud,0,0,1000000,23-Sep-05,PG,Castle Hill Productions,Based on Real Life Events,Drama,Dramatization,,0,5.7,161,23-09-2005
Psycho,21541218,37226218,20000000,4-Dec-98,R,Universal,Remake,Horror,Contemporary Fiction,Gus Van Sant,35,4.5,19769,04-12-1998
Psycho Beach Party,267972,267972,4000000,4-Aug-00,Not Rated,,,Comedy,,,55,6.0,3085,04-08-2000
Public Enemies,97104620,210379983,102500000,1-Jul-09,R,Universal,Based on Book/Short Story,Drama,Dramatization,Michael Mann,68,7.1,71323,01-07-2009
Pulp Fiction,107928762,212928762,8000000,14-Oct-94,R,Miramax,Original Screenplay,Drama,Contemporary Fiction,Quentin Tarantino,94,8.9,417703,14-10-1994
Pulse,20264436,29771485,7500000,11-Aug-06,R,Weinstein/Dimension,Remake,Horror,Contemporary Fiction,,11,5.0,846,11-08-2006
Punch-Drunk Love,17791031,24591031,25000000,11-Oct-02,R,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Paul Thomas Anderson,79,7.4,49786,11-10-2002
Punisher: War Zone,8050977,8199130,35000000,5-Dec-08,R,Lionsgate,Based on Comic/Graphic Novel,Action,Super Hero,,26,6.1,20865,05-12-2008
Push,31811527,44411527,38000000,6-Feb-09,PG-13,Summit Entertainment,Original Screenplay,Thriller/Suspense,Science Fiction,,23,6.0,26623,06-02-2009
Pushing Tin,8408835,8408835,33000000,23-Apr-99,R,20th Century Fox,Based on Magazine Article,Comedy,Contemporary Fiction,Mike Newell,49,5.9,16160,23-04-1999
Q,255000,255000,1200000,19-Nov-82,,United Film Distribution Co.,Original Screenplay,Horror,Fantasy,,0,6.1,1899,19-11-1982
Quantum of Solace,169368427,576368427,230000000,14-Nov-08,PG-13,Sony Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Marc Forster,64,6.8,93596,14-11-2008
Quarantine,31691811,36091811,12000000,10-Oct-08,R,Sony/Screen Gems,Original Screenplay,Horror,Contemporary Fiction,John Erick Dowdle,58,6.1,21939,10-10-2008
Queen of the Damned,30307804,30307804,35000000,22-Feb-02,R,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,,17,4.7,20268,22-02-2002
Quest for Camelot,22772500,38172500,40000000,15-May-98,G,Warner Bros.,Based on Book/Short Story,Adventure,Kids Fiction,,33,5.0,3053,15-05-1998
Quigley Down Under,21413105,21413105,20000000,19-Oct-90,,MGM,Original Screenplay,Western,Historical Fiction,Simon Wincer,60,6.5,6001,19-10-1990
Quinceanera,1692693,2522787,400000,2-Aug-06,R,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,0,7.1,2577,02-08-2006
Quo Vadis?,30000000,30000000,8250000,23-Feb-51,,,,,,,88,5.8,898,23-02-1951
R.V.,71724497,87524497,55000000,28-Apr-06,PG,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Barry Sonnenfeld,0,0.0,0,28-04-2006
Rabbit-Proof Fence,6199600,16199600,7000000,29-Nov-02,PG,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Phillip Noyce,87,7.6,13241,29-11-2002
Rachel Getting Married,12796277,13326280,12000000,3-Oct-08,R,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Jonathan Demme,86,6.9,20451,03-10-2008
Racing Stripes,49772522,93772522,30000000,14-Jan-05,PG,Warner Bros.,Original Screenplay,Comedy,Kids Fiction,,35,5.2,5086,14-01-2005
Radio,52333738,53293628,35000000,24-Oct-03,PG,Sony Pictures,Based on Real Life Events,Drama,Dramatization,,35,6.9,12070,24-10-2003
Radio Days,14792779,14792779,16000000,30-Jan-87,,Orion Pictures,Original Screenplay,Comedy,Historical Fiction,Woody Allen,95,7.5,10839,30-01-1987
Radio Flyer,4651977,4651977,35000000,21-Feb-92,,Sony Pictures,Original Screenplay,Drama,Historical Fiction,Richard Donner,43,6.5,6210,21-02-1992
Raging Bull,23380203,23380203,18000000,14-Nov-80,Not Rated,MGM,Based on Real Life Events,Drama,Dramatization,Martin Scorsese,98,8.4,90015,14-11-1980
Raiders of the Lost Ark,245034358,386800358,20000000,12-Jun-81,PG,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,0,8.7,242661,12-06-1981
Rain Man,172825435,412800000,25000000,16-Dec-88,,MGM,Original Screenplay,Comedy,Contemporary Fiction,Barry Levinson,87,8.0,106163,16-12-1988
Raise Your Voice,10411980,14811980,15000000,8-Oct-04,PG,New Line,Original Screenplay,Drama,Contemporary Fiction,,16,5.2,8634,08-10-2004
Raise the Titanic,7000000,7000000,40000000,1-Aug-80,PG,,,,,,60,3.9,1757,01-08-1980
Raising Cain,21171695,21171695,11000000,7-Aug-92,,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,53,5.7,5135,07-08-1992
Raising Helen,37485528,43340302,50000000,28-May-04,PG-13,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Garry Marshall,22,5.7,10526,28-05-2004
Raising Victor Vargas,2073984,2811439,800000,28-Mar-03,R,Samuel Goldwyn Films,Original Screenplay,Drama,Contemporary Fiction,Peter Sollett,0,7.1,3719,28-03-2003
Ramanujan,0,0,20000000,31-Dec-07,,,,,,Stephen Fry,0,0.0,0,31-12-2007
Rambo,42754105,116754105,47500000,25-Jan-08,R,Lionsgate,Based on Book/Short Story,Action,Contemporary Fiction,Sylvester Stallone,0,7.3,82600,25-01-2008
Rambo III,53715611,188715611,58000000,25-May-88,,Sony/TriStar,Based on Book/Short Story,Action,Contemporary Fiction,,36,4.9,31551,25-05-1988
Rambo: First Blood Part II,150415432,300400000,44000000,22-May-85,R,Sony/TriStar,Based on Book/Short Story,Action,Contemporary Fiction,George P. Cosmatos,30,5.8,38548,22-05-1985
Random Hearts,31054924,63200000,64000000,8-Oct-99,R,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Sydney Pollack,15,4.8,11100,08-10-1999
Rang De Basanti,2197694,29197694,5300000,27-Jan-06,Not Rated,UTV Communications,Original Screenplay,Drama,Contemporary Fiction,,0,8.1,12116,27-01-2006
Ransom,136492681,308700000,70000000,8-Nov-96,R,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Ron Howard,70,6.6,38524,08-11-1996
Rapa Nui,305070,305070,20000000,11-Sep-94,,,,,,Kevin Reynolds,0,6.1,2081,11-09-1994
Rat Race,56607223,86607223,48000000,17-Aug-01,PG-13,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Jerry Zucker,43,6.4,40087,17-08-2001
Ratatouille,206445654,620495432,150000000,29-Jun-07,G,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,Brad Bird,96,8.1,131929,29-06-2007
Ravenous,2062406,2062406,12000000,19-Mar-99,R,20th Century Fox,Original Screenplay,Horror,Historical Fiction,,39,6.9,15804,19-03-1999
Ray,75305995,125305995,40000000,29-Oct-04,PG-13,Universal,Based on Real Life Events,Drama,Dramatization,Taylor Hackford,81,0.0,0,29-10-2004
Ready to Rumble,12372410,12372410,24000000,7-Apr-00,PG-13,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Brian Robbins,25,0.0,0,07-04-2000
Real Women Have Curves,5853194,5853194,3000000,18-Oct-02,PG-13,Newmarket Films,Based on Play,Comedy,Contemporary Fiction,,83,7.0,4396,18-10-2002
Rebecca,6000000,6000000,1288000,1940-01-01,,MGM,Based on Book/Short Story,Drama,,Alfred Hitchcock,100,8.4,35429,01-01-1940
Rebound,16809014,17492014,45000000,1-Jul-05,PG,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,14,4.7,4485,01-07-2005
Recess: School's Out,36696761,44451470,10000000,16-Feb-01,G,Walt Disney Pictures,Based on TV,Comedy,Kids Fiction,,62,6.2,2176,16-02-2001
Red Cliff,627047,119627047,40000000,20-Nov-09,R,Magnolia Pictures,Based on Real Life Events,Action,Dramatization,John Woo,0,0.0,0,20-11-2009
Red Dragon,92955420,206455420,78000000,4-Oct-02,R,Universal,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Brett Ratner,68,7.3,66386,04-10-2002
Red Planet,17480890,33463969,80000000,10-Nov-00,PG-13,Warner Bros.,Original Screenplay,Action,Science Fiction,,12,5.3,20989,10-11-2000
Red River,9012000,9012000,3000000,1948-01-01,,,,,,Howard Hawks,100,7.8,10629,01-01-1948
Red Sonja,6905861,6905861,17900000,28-Jun-85,,MGM,Based on Book/Short Story,Action,Fantasy,Richard Fleischer,20,4.4,11896,28-06-1985
Red-Eye,57891803,95891803,26000000,19-Aug-05,PG-13,Dreamworks SKG,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Wes Craven,0,6.5,42489,19-08-2005
Redacted,65388,65388,5000000,16-Nov-07,R,Magnolia Pictures,Based on Real Life Events,Drama,Dramatization,Brian De Palma,44,6.1,5759,16-11-2007
Reds,50000000,50000000,33500000,4-Dec-81,,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Warren Beatty,94,7.4,8455,04-12-1981
Reign Over Me,19661987,20081987,20000000,23-Mar-07,R,Sony Pictures,Original Screenplay,Drama,Historical Fiction,Mike Binder,63,7.7,39234,23-03-2007
Reign of Fire,43061982,82150183,60000000,19-Feb-02,PG-13,Walt Disney Pictures,Original Screenplay,Action,Fantasy,,40,5.9,38414,19-02-2002
Reindeer Games,23360779,23360779,36000000,25-Feb-00,R,Miramax,Original Screenplay,Action,Contemporary Fiction,John Frankenheimer,0,5.5,16822,25-02-2000
Rejsen til Saturn,0,2783634,2700000,26-Sep-08,,,Original Screenplay,Comedy,Science Fiction,,0,5.9,849,26-09-2008
Religulous,13011160,13136074,2500000,1-Oct-08,R,Lionsgate,Based on Real Life Events,Documentary,Factual,Larry Charles,69,7.8,23094,01-10-2008
Remember Me,19068240,55343435,16000000,12-Mar-10,PG-13,Summit Entertainment,,Drama,Contemporary Fiction,,28,7.0,16319,12-03-2010
"Remember Me, My Love",223878,223878,6700000,3-Sep-04,Not Rated,IDP Distribution,Original Screenplay,Comedy,,Gabriele Muccino,0,7.0,16319,03-09-2004
Remember the Titans,115654751,136706683,30000000,29-Sep-00,PG,Walt Disney Pictures,Based on Real Life Events,Drama,Contemporary Fiction,Boaz Yakin,72,7.5,49844,29-09-2000
